candidate_id,plddt,delta_g,composite_score,rank
candidate_010,91.83,-11.92,0.9383,1
candidate_006,90.62,-11.99,0.7915,2
candidate_009,91.27,-9.86,0.717,3
candidate_029,89.97,-11.08,0.6431,4
candidate_014,89.64,-11.44,0.628,5
candidate_004,91.02,-8.62,0.5946,6
candidate_008,89.65,-10.89,0.589,7
candidate_012,89.52,-10.74,0.5616,8
candidate_011,90.53,-8.88,0.5521,9
candidate_021,91.03,-7.81,0.5365,10
candidate_003,89.03,-11.07,0.5243,11
candidate_028,90.08,-9.26,0.5235,12
candidate_002,90.77,-8.07,0.5229,13
candidate_019,88.8,-11.2,0.5049,14
candidate_024,92.28,-5.17,0.5,15
candidate_023,89.83,-9.11,0.4811,16
candidate_020,90.84,-7.27,0.4731,17
candidate_017,90.25,-8.26,0.4715,18
candidate_005,90.45,-7.48,0.4395,19
candidate_025,90.03,-8.0,0.4248,20
candidate_016,89.87,-7.35,0.3571,21
candidate_001,90.41,-6.23,0.3428,22
candidate_013,90.34,-6.27,0.3369,23
candidate_018,89.46,-7.6,0.3239,24
candidate_026,89.89,-5.63,0.2335,25
candidate_007,89.25,-6.34,0.2051,26
candidate_022,89.07,-6.04,0.1605,27
candidate_015,88.79,-6.28,0.1429,28
candidate_000,88.3,-5.96,0.0579,29
candidate_027,88.44,-5.52,0.0432,30
