candidate_id,plddt,rmsd,passes
candidate_000,94.7,1.49,True
candidate_001,81.41,0.83,True
candidate_002,94.73,1.69,True
candidate_003,83.93,1.45,True
candidate_004,87.7,1.59,True
candidate_005,83.86,1.56,True
candidate_006,83.25,0.71,True
candidate_007,84.93,0.68,True
candidate_008,89.91,1.39,True
candidate_009,82.03,0.98,True
candidate_010,88.19,0.77,True
candidate_011,82.42,0.79,True
candidate_012,87.34,1.19,True
candidate_013,91.62,0.85,True
candidate_014,92.27,0.84,True
candidate_015,91.02,1.45,True
candidate_016,85.97,0.92,True
candidate_017,92.29,1.47,True
candidate_018,85.08,1.53,True
candidate_019,86.88,1.76,True
candidate_020,93.72,0.72,True
candidate_021,82.51,1.24,True
candidate_022,80.81,0.87,True
candidate_023,81.7,1.38,True
candidate_024,94.92,0.52,True
candidate_025,80.43,1.3,True
candidate_026,83.96,1.54,True
candidate_027,86.6,1.46,True
candidate_028,82.28,1.76,True
candidate_029,80.57,1.09,True
