candidate_id,plddt,rmsd,passes
candidate_000,88.3,1.28,True
candidate_001,90.41,1.3,True
candidate_002,90.77,0.63,True
candidate_003,89.03,1.26,True
candidate_004,91.02,1.63,True
candidate_005,90.45,1.75,True
candidate_006,90.62,1.48,True
candidate_007,89.25,1.76,True
candidate_008,89.65,1.19,True
candidate_009,91.27,1.36,True
candidate_010,91.83,1.49,True
candidate_011,90.53,0.57,True
candidate_012,89.52,0.61,True
candidate_013,90.34,0.86,True
candidate_014,89.64,0.93,True
candidate_015,88.79,1.42,True
candidate_016,89.87,0.79,True
candidate_017,90.25,1.15,True
candidate_018,89.46,1.04,True
candidate_019,88.8,0.53,True
candidate_020,90.84,0.81,True
candidate_021,91.03,1.73,True
candidate_022,89.07,1.19,True
candidate_023,89.83,1.14,True
candidate_024,92.28,0.78,True
candidate_025,90.03,1.08,True
candidate_026,89.89,1.18,True
candidate_027,88.44,1.33,True
candidate_028,90.08,1.66,True
candidate_029,89.97,1.71,True
