candidate_id,plddt,delta_g,composite_score,rank
candidate_019,93.7704637403993,-9.849615917175708,0.9580011691517342,1
candidate_008,91.68597622371033,-9.298344938935037,0.8110020467542879,2
candidate_004,94.69010023898944,-7.944800143829822,0.7342943829988687,3
candidate_015,89.740821604539,-9.21077317701269,0.7311707262151289,4
candidate_002,89.04722432573908,-9.309595949941162,0.7201751284448386,5
candidate_022,94.0652583659359,-7.713044451541576,0.6812957389087184,6
candidate_014,94.9706638323259,-6.806907380760332,0.5912507606719656,7
candidate_013,90.94343292874083,-7.788707843634728,0.5822175212044989,8
candidate_016,93.84682571918655,-6.853461583756017,0.5581780448983198,9
candidate_017,89.22418966414921,-7.909181582686417,0.5382398299909121,10
candidate_000,94.8825873580424,-6.127641362045704,0.496917923127962,11
candidate_021,87.7426541327024,-7.909890471801171,0.4864914046682208,12
candidate_012,80.68216975182746,-9.617346176226912,0.4687975109033649,13
candidate_024,88.68877519086234,-7.456562582460624,0.4587003562447368,14
candidate_005,85.9016606704585,-8.1038796249251,0.4481291475447012,15
candidate_007,85.63735500939266,-8.160578391718811,0.4464970081655982,16
candidate_001,85.51424876110786,-8.079350219932508,0.4312771547162952,17
candidate_026,91.34186728729875,-6.246997285698457,0.3890507821495195,18
candidate_011,89.00151099174923,-6.8482517475670015,0.3879251467109067,19
candidate_020,83.8375277748665,-7.989768256879886,0.3605691385332411,20
candidate_029,81.11008090948044,-8.613588077573851,0.3489293382196491,21
candidate_010,88.25848355338377,-6.750725630512374,0.3488228508503724,22
candidate_028,86.80341739311403,-6.996856721411356,0.3309700284141582,23
candidate_025,85.4396608178194,-7.277887073110699,0.3210006920609819,24
candidate_006,83.20595333715535,-7.7893606784809055,0.311546121398764,25
candidate_009,86.00427833659917,-7.006608106187164,0.304315577581172,26
candidate_018,81.58504128787294,-7.68436100693601,0.2407198647169543,27
candidate_027,80.94978600176378,-7.765715158375665,0.2294191520428536,28
candidate_023,81.38981359237856,-7.239840728224778,0.1741725721578733,29
candidate_003,84.36600243840994,-6.398643179150061,0.1653147116807472,30
